Data;Nível (m);Volume (hm³);Volume (%);Q Jusante (m³/s);Q Natural (m³/s);Chuva (mm)
21/01/2023;639,85;87,12833517;98,09398913;26,34;32,36088072;4,6
20/01/2023;639,84;87,01606349;97,96758735;29,89;26,5789784;0
19/01/2023;639,9;87,69079839;98,72724191;30,88;29,99076138;0,6
18/01/2023;639,94;88,14209916;99,23534175;36,55;38,22699495;0
17/01/2023;639,96;88,36819457;99,48989271;26,62;38,43249367;13,2
16/01/2023;639,9;87,69079839;98,72724191;27,58;30,0432284;8,4
15/01/2023;639,91;87,80351251;98,85414182;26,72;33,89822882;0
14/01/2023;639,88;87,46559184;98,47369169;22,12;42,04495388;12,8
13/01/2023;639,76;86,12052927;96,95934446;20,48;44,23705927;1,6
12/01/2023;639,6;84,3434187;94,95857325;24,75;36,85195468;37
11/01/2023;639,53;83,57172374;94,08975558;27,5;29,98615;2
10/01/2023;639,53;83,57172374;94,08975558;27,555;31,30395752;0,6
09/01/2023;639,52;83,46176699;93,96596008;27;29,71866;1,2
08/01/2023;639,52;83,46176699;93,96596008;27,68;35,31250658;1,2
07/01/2023;639,49;83,13232323;93,59505372;25,41;62,29557123;0,4
06/01/2023;639,24;80,41158712;90,53189571;28,23;80,1073351;2,4
05/01/2023;638,85;76,25300953;85,84993473;29,77;94,45434886;78
04/01/2023;638,33;70,86413363;79,7828346;27,94;29,2925106;12
03/01/2023;638,34;70,96614173;79,89768107;28,08;28,39847014;35,4
02/01/2023;638,37;71,27254118;80,24264283;26,99;22,50485868;0
01/01/2023;638,44;71,9896708;81,05002776;24,08;23,96034369;0,2
31/12/2022;638,47;72,29795864;81,39711559;25,67;26,60670722;0,2
30/12/2022;638,5;72,60681728;81,74484605;27,7;29,56719989;7,2
29/12/2022;638,52;72,81304113;81,97702448;28,03;34,60319011;13,4
28/12/2022;638,5;72,60681728;81,74484605;28,08;30,58979367;12,2
27/12/2022;638,51;72,70989734;81,86089939;27,94;22,6047902;4,2
26/12/2022;638,59;73,53683777;82,79191553;27,86;24,76181395;0,2
25/12/2022;638,65;74,15974169;83,49321585;27,84;29,34170771;0,2
24/12/2022;638,69;74,5763048;83,96220607;27,85;41,43281077;0,6
23/12/2022;638,62;73,84799939;83,1422388;27,92;50,28595648;2,2
22/12/2022;638,47;72,29795864;81,39711559;26,05;49,07379999;6
21/12/2022;638,31;70,66030453;79,55335231;25,62;49,63228353;2,8
20/12/2022;638,14;68,93775174;77,61400533;26,44;28,91718755;42,4
19/12/2022;638,15;69,0385868;77,72753112;26,51;19,73401331;0,2
18/12/2022;638,24;69,94885976;78,75236771;26,5;21,07643974;0,2
17/12/2022;638,32;70,76218791;79,66805837;29,98;24,63289488;0,4
16/12/2022;638,41;71,68195178;80,70358036;31,28;26,19263795;0
15/12/2022;638,49;72,50380085;81,62886435;31,36;39,3306899;0
14/12/2022;638,45;72,09237011;81,16565244;31,56;44,02538078;7
13/12/2022;638,37;71,27254118;80,24264283;31,32;28,71253391;34
12/12/2022;638,42;71,7844617;80,8189918;31,14;23,44267556;8,2
11/12/2022;638,52;72,81304113;81,97702448;31,13;22,77023482;0
10/12/2022;638,63;73,95184887;83,2591584;31,1;28,71118812;0
09/12/2022;638,7;74,68060798;84,07963647;31,08;33,62234306;0
08/12/2022;638,72;74,88940973;84,31471724;31,13;46,29287042;0,6
07/12/2022;638,62;73,84799939;83,1422388;28,68;52,91131333;9,6
06/12/2022;638,45;72,09237011;81,16565244;29,43;65,89307177;20,2
05/12/2022;638,18;69,34145876;78,06852143;29,57;50,19493252;37,6
04/12/2022;638,04;67,93274456;76,48251161;26,51;43,16775192;108,8
03/12/2022;637,94;66,93376512;75,35780427;28,73;27,27280737;4,4
02/12/2022;638;67,53243354;76,03181891;27,74;31,78334621;0,2
01/12/2022;638,01;67,63242114;76,14439058;28,36;46,16497618;18
30/11/2022;637,9;66,53584476;74,90980311;26,6;51,78932688;10
29/11/2022;637,72;64,75686817;72,90693102;31,84;46,99638564;0,2
28/11/2022;637,63;63,87444634;71,9134508;29,09;32,48158158;0
27/11/2022;637,64;63,9722631;72,02357842;28,3;55,15512121;0,2
26/11/2022;637,45;62,12346974;69,94210269;31,42;67,7830393;0,2
25/11/2022;637,17;59,43561851;66,91596832;33,16;50,38661335;0,2
24/11/2022;637,06;58,39133425;65,74025426;32,94;43,42953347;1
23/11/2022;637,01;57,91879075;65,20823816;31,43;36,57416;13
22/11/2022;637,01;57,91879075;65,20823816;26,48;14,86955146;0
21/11/2022;637,16;59,34041536;66,80878325;25,34;14,86892129;0
20/11/2022;637,29;60,58228392;68,20694885;25,28;15,22555703;0
19/11/2022;637,42;61,83341493;69,61554264;27,24;16,30400288;0,2
18/11/2022;637,56;63,19132892;71,14435872;27,82;17,39020315;0
17/11/2022;637,69;64,46220871;72,5751868;25,94;18,62103445;0,2
16/11/2022;637,79;65,44643825;73,68328787;25,14;21,76908335;0
15/11/2022;637,85;66,039777;74,35130207;25,2;26,5704407;3
