Local;Data;Mínima;Média;Máxima;Mínima;Média;Máxima;Precipitação (mm)
Juquitiba;04/02/2009;18.88;24.035;29.19;54.34;75.22;96.1;0.254
Juquitiba;05/02/2009;19.02;23.64;28.26;53.61;74.655;95.7;6.35
Juquitiba;06/02/2009;17.48;22.865;28.25;60.96;80.48;100;0.254
Juquitiba;07/02/2009;16.88;24;31.12;47.64;73.82;100;0.254
Juquitiba;08/02/2009;17.88;24.7;31.52;44.22;72.11;100;42.16
Juquitiba;09/02/2009;19.02;25.2;31.38;45.02;72.16;99.3;10.16
Juquitiba;10/02/2009;19.48;24.365;29.25;61.36;80.23;99.1;0.762
Juquitiba;11/02/2009;19.35;24.075;28.8;61.56;79.73;97.9;0
Juquitiba;12/02/2009;19.74;24.795;29.85;56.13;76.215;96.3;11.68
Juquitiba;13/02/2009;16.81;20.335;23.86;69.15;82.775;96.4;13.21
Juquitiba;14/02/2009;15.68;17.94;20.2;76.3;86.85;97.4;0.762
Juquitiba;15/02/2009;16.42;19.385;22.35;71.6;84.55;97.5;3.302
Juquitiba;16/02/2009;18.08;22.865;27.65;59.89;78.695;97.5;32.51
Juquitiba;17/02/2009;19.15;24.4;29.65;51.59;74.595;97.6;1.016
Juquitiba;18/02/2009;17.95;24.735;31.52;32.18;66.09;100;0.254
Juquitiba;19/02/2009;18.01;24.535;31.06;51.86;75.93;100;0
Juquitiba;20/02/2009;18.08;23.9;29.72;51.66;75.83;100;0
Juquitiba;21/02/2009;18.74;25.2;31.66;50.38;75.19;100;0.254
Juquitiba;22/02/2009;17.95;24.8;31.65;44.56;72.28;100;0.762
Juquitiba;23/02/2009;19.15;24.065;28.98;58.55;78.925;99.3;0.254
Juquitiba;24/02/2009;18.95;25.595;32.24;44.34;71.62;98.9;30.48
Juquitiba;25/02/2009;18.28;22.11;25.94;76.1;87.7;99.3;26.67
Juquitiba;26/02/2009;18.75;21.405;24.06;77.4;88.7;100;26.42
Juquitiba;27/02/2009;19.35;24.51;29.67;52.2;75.95;99.7;0
Juquitiba;28/02/2009;18.88;24.205;29.53;49.58;74.79;100;0
Juquitiba;01/03/2009;19.02;25.2;31.38;48.9;74.45;100;10.16
Juquitiba;02/03/2009;19.35;26.43;33.51;43.28;70.99;98.7;0.254
Juquitiba;03/03/2009;19.42;26.565;33.71;38.59;69.045;99.5;0
Juquitiba;04/03/2009;20.69;26.235;31.78;54.6;74.75;94.9;0
Juquitiba;05/03/2009;19.15;25.465;31.78;57.2;77.4;97.6;0
Juquitiba;06/03/2009;17.09;25.7;34.31;39.53;69.065;98.6;0
Juquitiba;07/03/2009;18.62;25.635;32.65;50.17;72.835;95.5;0.254
Juquitiba;08/03/2009;17.09;21.335;25.58;65.92;82.16;98.4;0.254
Juquitiba;09/03/2009;17.49;24.635;31.78;43.69;71.845;100;12.19
Juquitiba;10/03/2009;18.35;23.575;28.8;59.91;78.955;98;0.254
Juquitiba;11/03/2009;18.62;23.61;28.6;59.16;78.43;97.7;0
Juquitiba;12/03/2009;19.28;21.94;24.6;77.6;87.65;97.7;26.42
Juquitiba;13/03/2009;19.55;24.005;28.46;57.02;77.06;97.1;3.81
Juquitiba;14/03/2009;17.42;22.475;27.53;63.91;81.255;98.6;11.43
Juquitiba;15/03/2009;16.48;23.195;29.91;50.65;75.325;100;0.254
Juquitiba;16/03/2009;15.75;22.805;29.86;41.42;69.81;98.2;4.826
Juquitiba;17/03/2009;16.42;21.975;27.53;58.16;78.18;98.2;0.254
Juquitiba;18/03/2009;16.95;23.175;29.4;48.52;73.21;97.9;14.73
Juquitiba;19/03/2009;17.96;21.94;25.92;64.38;80.84;97.3;55.37
Juquitiba;20/03/2009;16.75;20.435;24.12;71.6;84.6;97.6;21.84
Juquitiba;21/03/2009;17.09;22.28;27.47;56.56;77.18;97.8;0
Juquitiba;22/03/2009;15.89;18.38;20.87;77.3;87.4;97.5;2.54
Juquitiba;23/03/2009;16.22;20.84;25.46;64.93;81.365;97.8;1.016
Juquitiba;24/03/2009;17.28;21.805;26.33;61.11;78.805;96.5;0.254
Juquitiba;25/03/2009;14.95;19.775;24.6;66.66;82.28;97.9;0.508
Juquitiba;26/03/2009;13.62;19.57;25.52;51.34;74.67;98;0.254
Juquitiba;27/03/2009;14.88;20.87;26.86;52.81;75.255;97.7;0
Juquitiba;28/03/2009;16.35;22.205;28.06;55.21;76.555;97.9;0
Juquitiba;29/03/2009;16.75;23.51;30.27;52.27;75.035;97.8;0
Juquitiba;30/03/2009;17.15;22.235;27.32;60.5;79.2;97.9;0
Juquitiba;31/03/2009;17.22;22.705;28.19;60.63;78.965;97.3;0
Juquitiba;01/04/2009;15.55;22.105;28.66;53.67;75.835;98;0
Juquitiba;02/04/2009;16.22;21.74;27.26;51.48;74.74;98;0.508
Juquitiba;03/04/2009;17.35;19.445;21.54;80.5;88;95.5;4.318
Juquitiba;04/04/2009;17.02;21.24;25.46;58.7;77.2;95.7;0
Juquitiba;05/04/2009;16.49;23.11;29.73;42.62;71.31;100;0
Juquitiba;06/04/2009;17.49;24.44;31.39;46.5;73.25;100;52.83
Juquitiba;07/04/2009;17.54;20.64;23.74;74.9;86.45;98;0.254
Juquitiba;08/04/2009;16.55;21.41;26.27;62.12;80.21;98.3;0
Juquitiba;09/04/2009;16.75;21.84;26.93;52.74;76.37;100;2.032
Juquitiba;10/04/2009;14.75;20.005;25.26;61.4;79.7;98;0.254
Juquitiba;11/04/2009;12.56;19.91;27.26;44.1;71.2;98.3;0.254
Juquitiba;12/04/2009;13.22;19.4;25.58;52.54;75.52;98.5;0
Juquitiba;13/04/2009;15.22;20.145;25.07;61.07;79.335;97.6;0
Juquitiba;14/04/2009;17.02;18.98;20.94;85.5;92.05;98.6;10.16
Juquitiba;15/04/2009;16.55;21.805;27.06;55.81;76.855;97.9;31.24
Juquitiba;16/04/2009;15.62;19.015;22.41;68.77;83.285;97.8;3.556
Juquitiba;17/04/2009;9.08;15.145;21.21;60.14;79.27;98.4;0.254
Juquitiba;18/04/2009;9.42;16.205;22.99;56.23;77.365;98.5;0
Juquitiba;19/04/2009;11.75;19.335;26.92;44.44;71.47;98.5;0.254
Juquitiba;20/04/2009;12.02;20.005;27.99;33.06;65.78;98.5;0
Juquitiba;21/04/2009;15.62;19.11;22.6;68.37;83.035;97.7;11.94
Juquitiba;22/04/2009;13.35;16.95;20.55;74.7;85.9;97.1;2.286
Juquitiba;23/04/2009;13.55;18.775;24;61.66;80.63;99.6;19.56
Juquitiba;24/04/2009;13.08;16.75;20.42;79.6;88.9;98.2;4.826
Juquitiba;25/04/2009;13.82;16.415;19.01;90.2;94.2;98.2;9.4
Juquitiba;26/04/2009;15.15;19.34;23.53;66.34;82.17;98;0.508
Juquitiba;27/04/2009;15.08;19.305;23.53;63.26;80.73;98.2;0.254
